,model,Cores,GBRAM,batchSize,learningRate,learningRateDecay,status,accuracy,responsetime
0,0,1,1,512,0.001,0.0001,1,0.098833,66.448619
1,0,1,1,512,0.001,0.001,1,0.106467,65.875807
2,0,1,1,512,0.1,0.0001,1,0.413267,66.153915
3,0,1,1,512,0.1,0.001,1,0.341633,65.142351
4,0,1,1,64,0.001,0.0001,1,0.083167,66.433904
5,0,1,1,64,0.001,0.001,1,0.111833,65.576356
6,0,1,1,64,0.1,0.0001,1,0.437933,65.468906
7,0,1,1,64,0.1,0.001,1,0.348333,65.183306
8,0,1,8,512,0.001,0.0001,1,0.111733,65.825846
9,0,1,8,512,0.001,0.001,1,0.089067,65.682428
10,0,1,8,512,0.1,0.0001,1,0.455133,66.809501
11,0,1,8,512,0.1,0.001,1,0.358300,65.489390
12,0,1,8,64,0.001,0.0001,1,0.103700,66.361090
13,0,1,8,64,0.001,0.001,1,0.105367,66.196197
14,0,1,8,64,0.1,0.0001,1,0.436000,65.227313
15,0,1,8,64,0.1,0.001,1,0.373667,65.229810
16,0,4,1,512,0.001,0.0001,1,0.070067,60.733483
17,0,4,1,512,0.001,0.001,1,0.108400,60.451349
18,0,4,1,512,0.1,0.0001,1,0.466233,60.593387
19,0,4,1,512,0.1,0.001,1,0.410533,62.779873
20,0,4,1,64,0.001,0.0001,1,0.100567,61.132230
21,0,4,1,64,0.001,0.001,1,0.109333,60.856293
22,0,4,1,64,0.1,0.0001,1,0.247900,61.204052
23,0,4,1,64,0.1,0.001,1,0.331300,60.484537
24,0,4,8,512,0.001,0.0001,1,0.105633,61.160203
25,0,4,8,512,0.001,0.001,1,0.096567,61.473806
26,0,4,8,512,0.1,0.0001,1,0.458467,62.914792
27,0,4,8,512,0.1,0.001,1,0.329933,60.262215
28,0,4,8,64,0.001,0.0001,1,0.117167,60.593442
29,0,4,8,64,0.001,0.001,1,0.100633,61.994593
30,0,4,8,64,0.1,0.0001,1,0.374600,61.168974
31,0,4,8,64,0.1,0.001,1,0.345667,60.701991
32,1,1,1,512,0.001,0.0001,1,0.360133,60.854880
33,1,1,1,512,0.001,0.001,1,0.227500,60.360145
34,1,1,1,512,0.1,0.0001,1,0.952100,60.517854
35,1,1,1,512,0.1,0.001,1,0.950000,60.524761
36,1,1,1,64,0.001,0.0001,1,0.223100,61.172555
37,1,1,1,64,0.001,0.001,1,0.201433,60.027055
38,1,1,1,64,0.1,0.0001,1,0.958700,61.289497
39,1,1,1,64,0.1,0.001,1,0.947200,60.718338
40,1,1,8,512,0.001,0.0001,1,0.245933,60.514960
41,1,1,8,512,0.001,0.001,1,0.178400,61.196166
42,1,1,8,512,0.1,0.0001,1,0.954933,61.102594
43,1,1,8,512,0.1,0.001,1,0.951067,61.197732
44,1,1,8,64,0.001,0.0001,1,0.305233,62.795231
45,1,1,8,64,0.001,0.001,1,0.206000,60.209201
46,1,1,8,64,0.1,0.0001,1,0.955833,64.237713
47,1,1,8,64,0.1,0.001,1,0.948800,61.006247
48,1,4,1,512,0.001,0.0001,1,0.322400,54.378906
49,1,4,1,512,0.001,0.001,1,0.229333,53.033516
50,1,4,1,512,0.1,0.0001,1,0.954667,54.150113
51,1,4,1,512,0.1,0.001,1,0.630300,53.501160
52,1,4,1,64,0.001,0.0001,1,0.288700,54.328168
53,1,4,1,64,0.001,0.001,1,0.241500,52.598002
54,1,4,1,64,0.1,0.0001,1,0.952267,56.812564
55,1,4,1,64,0.1,0.001,1,0.949433,53.803299
56,1,4,8,512,0.001,0.0001,1,0.214000,55.106701
57,1,4,8,512,0.001,0.001,1,0.171000,55.059979
58,1,4,8,512,0.1,0.0001,1,0.952900,53.883351
59,1,4,8,512,0.1,0.001,1,0.950900,56.430385
60,1,4,8,64,0.001,0.0001,1,0.276667,55.387812
61,1,4,8,64,0.001,0.001,1,0.234600,54.221832
62,1,4,8,64,0.1,0.0001,1,0.951567,53.963426
63,1,4,8,64,0.1,0.001,1,0.952333,54.990166
