model,Cores,GBRAM,batchSize,learningRate,learningRateDecay,status,accuracy,responsetime
bi-rnn,4,8,512,0.1,0.001,normal,0.303400,58.843168
bi-rnn,1,8,512,0.1,0.001,slow,0.426400,64.131226
bi-rnn,4,1,512,0.1,0.001,normal,0.445200,59.450053
bi-rnn,1,1,512,0.1,0.001,slow,0.319100,63.867442
bi-rnn,4,8,64,0.1,0.001,slow,0.373000,61.085689
bi-rnn,1,8,64,0.1,0.001,slow,0.465200,64.937492
bi-rnn,4,1,64,0.1,0.001,normal,0.360200,59.996282
bi-rnn,1,1,64,0.1,0.001,slow,0.311000,66.224213
bi-rnn,4,8,512,0.001,0.001,slow,0.088700,61.282578
bi-rnn,1,8,512,0.001,0.001,slow,0.096800,65.310405
bi-rnn,4,1,512,0.001,0.001,normal,0.074900,59.384840
bi-rnn,1,1,512,0.001,0.001,slow,0.115600,66.150457
bi-rnn,4,8,64,0.001,0.001,slow,0.097300,63.895837
bi-rnn,1,8,64,0.001,0.001,slow,0.105400,66.303017
bi-rnn,4,1,64,0.001,0.001,slow,0.102400,61.136506
bi-rnn,1,1,64,0.001,0.001,slow,0.092800,65.351921
bi-rnn,4,8,512,0.1,0.0001,slow,0.479600,60.412399
bi-rnn,1,8,512,0.1,0.0001,slow,0.446400,67.421639
bi-rnn,4,1,512,0.1,0.0001,slow,0.531000,61.839744
bi-rnn,1,1,512,0.1,0.0001,slow,0.392600,66.219844
bi-rnn,4,8,64,0.1,0.0001,slow,0.397800,60.998789
bi-rnn,1,8,64,0.1,0.0001,slow,0.456000,64.807549
bi-rnn,4,1,64,0.1,0.0001,slow,0.340500,63.383575
bi-rnn,1,1,64,0.1,0.0001,slow,0.444700,65.205607
bi-rnn,4,8,512,0.001,0.0001,slow,0.117400,60.466830
bi-rnn,1,8,512,0.001,0.0001,slow,0.091900,65.276423
bi-rnn,4,1,512,0.001,0.0001,slow,0.095800,60.382428
bi-rnn,1,1,512,0.001,0.0001,slow,0.095900,67.150976
bi-rnn,4,8,64,0.001,0.0001,normal,0.128800,59.465842
bi-rnn,1,8,64,0.001,0.0001,slow,0.098500,66.577268
bi-rnn,4,1,64,0.001,0.0001,slow,0.122600,60.640285
bi-rnn,1,1,64,0.001,0.0001,slow,0.094000,66.113328
bi-rnn,4,8,512,0.1,0.001,normal,0.282400,59.885501
bi-rnn,1,8,512,0.1,0.001,slow,0.276600,64.931396
bi-rnn,4,1,512,0.1,0.001,slow,0.414700,64.981860
bi-rnn,1,1,512,0.1,0.001,slow,0.348500,65.281098
bi-rnn,4,8,64,0.1,0.001,slow,0.354800,60.906638
bi-rnn,1,8,64,0.1,0.001,slow,0.272300,64.967894
bi-rnn,4,1,64,0.1,0.001,slow,0.338300,60.286126
bi-rnn,1,1,64,0.1,0.001,slow,0.396000,65.102490
bi-rnn,4,8,512,0.001,0.001,slow,0.097900,61.129702
bi-rnn,1,8,512,0.001,0.001,slow,0.110300,65.317527
bi-rnn,4,1,512,0.001,0.001,slow,0.142100,61.754551
bi-rnn,1,1,512,0.001,0.001,slow,0.100300,66.387626
bi-rnn,4,8,64,0.001,0.001,slow,0.089200,61.648981
bi-rnn,1,8,64,0.001,0.001,slow,0.113700,66.926185
bi-rnn,4,1,64,0.001,0.001,slow,0.127600,61.715278
bi-rnn,1,1,64,0.001,0.001,slow,0.145600,66.263563
bi-rnn,4,8,512,0.1,0.0001,slow,0.467000,62.543930
bi-rnn,1,8,512,0.1,0.0001,slow,0.445900,66.842768
bi-rnn,4,1,512,0.1,0.0001,slow,0.395000,60.605097
bi-rnn,1,1,512,0.1,0.0001,slow,0.444000,66.210428
bi-rnn,4,8,64,0.1,0.0001,slow,0.434700,62.863836
bi-rnn,1,8,64,0.1,0.0001,slow,0.407200,65.362168
bi-rnn,4,1,64,0.1,0.0001,slow,0.403200,60.257858
bi-rnn,1,1,64,0.1,0.0001,slow,0.509700,65.611396
bi-rnn,4,8,512,0.001,0.0001,slow,0.101200,61.198945
bi-rnn,1,8,512,0.001,0.0001,slow,0.128500,65.543155
bi-rnn,4,1,512,0.001,0.0001,slow,0.064100,60.536916
bi-rnn,1,1,512,0.001,0.0001,slow,0.097400,65.111928
bi-rnn,4,8,64,0.001,0.0001,slow,0.138000,60.928546
bi-rnn,1,8,64,0.001,0.0001,slow,0.123300,66.192595
bi-rnn,4,1,64,0.001,0.0001,slow,0.096000,61.704707
bi-rnn,1,1,64,0.001,0.0001,slow,0.092600,66.787723
bi-rnn,4,8,512,0.1,0.001,slow,0.404000,62.057975
bi-rnn,1,8,512,0.1,0.001,slow,0.371900,67.405548
bi-rnn,4,1,512,0.1,0.001,slow,0.371700,63.907707
bi-rnn,1,1,512,0.1,0.001,slow,0.357300,66.278513
bi-rnn,4,8,64,0.1,0.001,slow,0.309200,60.113646
bi-rnn,1,8,64,0.1,0.001,slow,0.383500,65.784044
bi-rnn,4,1,64,0.1,0.001,slow,0.295400,61.171204
bi-rnn,1,1,64,0.1,0.001,slow,0.338000,64.223214
bi-rnn,4,8,512,0.001,0.001,slow,0.103100,62.009138
bi-rnn,1,8,512,0.001,0.001,slow,0.060100,66.419351
bi-rnn,4,1,512,0.001,0.001,slow,0.108200,60.214657
bi-rnn,1,1,512,0.001,0.001,slow,0.103500,65.089339
bi-rnn,4,8,64,0.001,0.001,slow,0.115400,60.438960
bi-rnn,1,8,64,0.001,0.001,slow,0.097000,65.359390
bi-rnn,4,1,64,0.001,0.001,normal,0.098000,59.717095
bi-rnn,1,1,64,0.001,0.001,slow,0.097100,65.113585
bi-rnn,4,8,512,0.1,0.0001,slow,0.428800,65.788046
bi-rnn,1,8,512,0.1,0.0001,slow,0.473100,66.164095
bi-rnn,4,1,512,0.1,0.0001,normal,0.472700,59.335319
bi-rnn,1,1,512,0.1,0.0001,slow,0.403200,66.031473
bi-rnn,4,8,64,0.1,0.0001,normal,0.291300,59.644297
bi-rnn,1,8,64,0.1,0.0001,slow,0.444800,65.512221
bi-rnn,4,1,64,0.1,0.0001,normal,0.000000,59.970725
bi-rnn,1,1,64,0.1,0.0001,slow,0.359400,65.589714
bi-rnn,4,8,512,0.001,0.0001,slow,0.098300,61.814833
bi-rnn,1,8,512,0.001,0.0001,slow,0.114800,66.657960
bi-rnn,4,1,512,0.001,0.0001,slow,0.050300,61.281104
bi-rnn,1,1,512,0.001,0.0001,slow,0.103200,67.082954
bi-rnn,4,8,64,0.001,0.0001,slow,0.084700,61.385939
bi-rnn,1,8,64,0.001,0.0001,slow,0.089300,66.313407
bi-rnn,4,1,64,0.001,0.0001,slow,0.083100,61.051698
bi-rnn,1,1,64,0.001,0.0001,slow,0.062900,66.400662
lenet5,4,8,512,0.1,0.001,normal,0.950200,56.241249
lenet5,1,8,512,0.1,0.001,slow,0.949300,60.282200
lenet5,4,1,512,0.1,0.001,normal,0.945100,52.822179
lenet5,1,1,512,0.1,0.001,normal,0.948400,59.881951
lenet5,4,8,64,0.1,0.001,normal,0.949500,56.010408
lenet5,1,8,64,0.1,0.001,slow,0.949000,60.691626
lenet5,4,1,64,0.1,0.001,normal,0.949300,53.590987
lenet5,1,1,64,0.1,0.001,slow,0.945300,60.355525
lenet5,4,8,512,0.001,0.001,normal,0.175800,53.954871
lenet5,1,8,512,0.001,0.001,normal,0.199500,59.259670
lenet5,4,1,512,0.001,0.001,normal,0.244300,51.904655
lenet5,1,1,512,0.001,0.001,normal,0.233200,59.475883
