model,Cores,GBRAM,batchSize,learningRate,learningRateDecay,status,accuracy,responsetime
bi-rnn,8,6,512,0.1,0.001,normal,0.806900,157.857663
bi-rnn,1,6,512,0.1,0.001,slow,0.824400,294.176505
bi-rnn,8,3,512,0.1,0.001,slow,0.794500,160.133618
bi-rnn,1,3,512,0.1,0.001,slow,0.821800,288.015722
bi-rnn,8,6,256,0.1,0.001,normal,0.926400,238.063968
bi-rnn,1,6,256,0.1,0.001,slow,0.917600,347.041572
bi-rnn,8,3,256,0.1,0.001,normal,0.911700,240.294007
bi-rnn,1,3,256,0.1,0.001,slow,0.901300,348.047788
bi-rnn,8,6,512,0.001,0.001,slow,0.142600,157.918777
bi-rnn,1,6,512,0.001,0.001,slow,0.094900,289.217448
bi-rnn,8,3,512,0.001,0.001,slow,0.101700,168.006493
bi-rnn,1,3,512,0.001,0.001,slow,0.089000,298.373956
bi-rnn,8,6,256,0.001,0.001,slow,0.124500,242.140040
bi-rnn,1,6,256,0.001,0.001,slow,0.091500,351.934834
bi-rnn,8,3,256,0.001,0.001,slow,0.075500,243.083467
bi-rnn,1,3,256,0.001,0.001,slow,0.098600,356.212206
bi-rnn,8,6,512,0.1,0.0001,normal,0.912100,163.740983
bi-rnn,1,6,512,0.1,0.0001,slow,0.920900,297.016868
bi-rnn,8,3,512,0.1,0.0001,normal,0.933000,162.272562
bi-rnn,1,3,512,0.1,0.0001,slow,0.921300,293.997239
bi-rnn,8,6,256,0.1,0.0001,normal,0.945800,249.253400
bi-rnn,1,6,256,0.1,0.0001,slow,0.956000,352.122276
bi-rnn,8,3,256,0.1,0.0001,normal,0.950600,241.090143
bi-rnn,1,3,256,0.1,0.0001,slow,0.944200,350.268950
bi-rnn,8,6,512,0.001,0.0001,slow,0.129700,161.019487
bi-rnn,1,6,512,0.001,0.0001,slow,0.146400,295.209586
bi-rnn,8,3,512,0.001,0.0001,slow,0.097500,161.022635
bi-rnn,1,3,512,0.001,0.0001,slow,0.107800,297.126465
bi-rnn,8,6,256,0.001,0.0001,slow,0.126800,240.434440
bi-rnn,1,6,256,0.001,0.0001,slow,0.104000,345.310678
bi-rnn,8,3,256,0.001,0.0001,slow,0.113400,240.919006
