,model,Cores,GBRAM,batchSize,learningRate,learningRateDecay,status,accuracy,responsetime
0,0,8,6000,512,0.1,0.001,0,0.806900,157.857663
1,0,1,6000,512,0.1,0.001,1,0.824400,294.176505
2,0,8,3000,512,0.1,0.001,0,0.794500,160.133618
3,0,1,3000,512,0.1,0.001,1,0.821800,288.015722
4,0,8,6000,256,0.1,0.001,0,0.926400,238.063968
5,0,1,6000,256,0.1,0.001,1,0.917600,347.041572
6,0,8,3000,256,0.1,0.001,0,0.911700,240.294007
7,0,1,3000,256,0.1,0.001,1,0.901300,348.047788
8,0,8,6000,512,0.001,0.001,0,0.142600,157.918777
9,0,1,6000,512,0.001,0.001,1,0.094900,289.217448
10,0,8,3000,512,0.001,0.001,0,0.101700,168.006493
11,0,1,3000,512,0.001,0.001,1,0.089000,298.373956
12,0,8,6000,256,0.001,0.001,0,0.124500,242.140040
13,0,1,6000,256,0.001,0.001,1,0.091500,351.934834
14,0,8,3000,256,0.001,0.001,0,0.075500,243.083467
15,0,1,3000,256,0.001,0.001,1,0.098600,356.212206
16,0,8,6000,512,0.1,0.0001,0,0.912100,163.740983
17,0,1,6000,512,0.1,0.0001,1,0.920900,297.016868
18,0,8,3000,512,0.1,0.0001,0,0.933000,162.272562
19,0,1,3000,512,0.1,0.0001,1,0.921300,293.997239
20,0,8,6000,256,0.1,0.0001,0,0.945800,249.253400
21,0,1,6000,256,0.1,0.0001,1,0.956000,352.122276
22,0,8,3000,256,0.1,0.0001,0,0.950600,241.090143
23,0,1,3000,256,0.1,0.0001,1,0.944200,350.268950
24,0,8,6000,512,0.001,0.0001,0,0.129700,161.019487
25,0,1,6000,512,0.001,0.0001,1,0.146400,295.209586
26,0,8,3000,512,0.001,0.0001,0,0.097500,161.022635
27,0,1,3000,512,0.001,0.0001,1,0.107800,297.126465
28,0,8,6000,256,0.001,0.0001,0,0.126800,240.434440
29,0,1,6000,256,0.001,0.0001,1,0.104000,345.310678
30,0,8,3000,256,0.001,0.0001,0,0.113400,240.919006
31,0,1,3000,256,0.001,0.0001,1,0.116600,357.181596
32,0,8,6,512,0.1,0.001,0,0.871600,161.809277
33,0,1,6,512,0.1,0.001,1,0.877600,292.116576
34,0,8,3,512,0.1,0.001,0,0.802800,162.233569
35,0,1,3,512,0.1,0.001,1,0.786600,296.955453
36,0,8,6,256,0.1,0.001,0,0.877300,244.315039
37,0,1,6,256,0.1,0.001,1,0.920900,352.260717
38,0,8,3,256,0.1,0.001,0,0.902700,242.076268
39,0,1,3,256,0.1,0.001,1,0.880600,351.149000
40,0,8,6,512,0.001,0.001,0,0.099400,161.705904
41,0,1,6,512,0.001,0.001,1,0.096100,298.145894
42,0,8,3,512,0.001,0.001,0,0.121100,162.187815
43,0,1,3,512,0.001,0.001,1,0.133600,298.021520
44,0,8,6,256,0.001,0.001,0,0.155100,242.174164
45,0,1,6,256,0.001,0.001,1,0.119200,352.014566
46,0,8,3,256,0.001,0.001,0,0.100000,241.254159
47,0,1,3,256,0.001,0.001,1,0.151400,348.531808
48,0,8,6,512,0.1,0.0001,0,0.869200,161.874033
49,0,1,6,512,0.1,0.0001,1,0.911100,297.149145
